Id,Nombre,Email,Telefono,Tipo
7d03aff5-76d7-4385-9fca-6b719a433717,Usuario 35,usuario35@ejemplo.com,555-0000035,cliente
056761a8-46e8-463b-b64e-03cf78b66bef,Usuario 36,usuario36@ejemplo.com,555-0000036,cliente
ea3b764b-6968-4322-b6d1-c5ef5990d198,Usuario 37,usuario37@ejemplo.com,555-0000037,cliente
3ffda103-30bd-4c1c-8be2-6756c7efd1dc,Usuario 38,usuario38@ejemplo.com,555-0000038,cliente
43594173-93b9-481e-a959-9b70482b38b1,Usuario 39,usuario39@ejemplo.com,555-0000039,cliente
c5584ef8-6891-495e-8eb1-34465eb6bc3b,Usuario 40,usuario40@ejemplo.com,555-0000040,cliente
06752ff7-e8f6-47ec-8dd5-c91204553579,Usuario 41,usuario41@ejemplo.com,555-0000041,cliente
a893b096-6488-4f2a-97a3-af058d479064,Usuario 42,usuario42@ejemplo.com,555-0000042,cliente
8ddffe09-2505-4588-bdf1-0c60345b5a36,Usuario 43,usuario43@ejemplo.com,555-0000043,cliente
4ea93812-2f20-4fe7-a761-f6d9a20cfcc5,Usuario 44,usuario44@ejemplo.com,555-0000044,cliente
48c28c75-026f-4bec-a34d-29568d0227a5,Usuario 45,usuario45@ejemplo.com,555-0000045,cliente
e7bd06b2-9974-4dd4-bc4d-6da4ad3f6bb9,Usuario 46,usuario46@ejemplo.com,555-0000046,cliente
d3f61f4a-56d3-4ebc-a9fa-482ab49f391d,Usuario 47,usuario47@ejemplo.com,555-0000047,cliente
499fe3da-f5ec-4834-9d0f-5be3fea477a9,Usuario 48,usuario48@ejemplo.com,555-0000048,cliente
e77e3b04-05de-4a39-96d7-4c7f757206b1,Usuario 49,usuario49@ejemplo.com,555-0000049,cliente
2b2e6131-044f-4acc-8858-4eef4c61484d,Usuario 50,usuario50@ejemplo.com,555-0000050,cliente
